year,age,sex,notifications
2017,40-44,Other/unknown,104
2017,45-49,Female,7997
2017,45-49,Male,5762
2017,45-49,Other/unknown,75
2017,50-54,Female,7530
2017,50-54,Male,5428
2017,50-54,Other/unknown,66
2017,55-59,Female,7946
2017,55-59,Male,5561
2017,55-59,Other/unknown,55
2017,60-64,Female,7280
2017,60-64,Male,5154
2017,60-64,Other/unknown,37
2017,65-69,Female,6298
2017,65-69,Male,4809
2017,65-69,Other/unknown,41
2017,70-74,Female,5496
2017,70-74,Male,4548
2017,70-74,Other/unknown,35
2017,75-79,Female,4993
2017,75-79,Male,4268
2017,75-79,Other/unknown,34
2017,80-84,Female,4929
2017,80-84,Male,3932
2017,80-84,Other/unknown,37
2017,85+,Female,9685
2017,85+,Male,5636
2017,85+,Other/unknown,47
2017,NA,Female,5
2017,NA,Male,5
2017,NA,Other/unknown,1
2018,00-04,Female,3004
2018,00-04,Male,3572
2018,00-04,Other/unknown,13
2018,05-09,Female,3217
2018,05-09,Male,3725
2018,05-09,Other/unknown,9
2018,10-14,Female,1247
2018,10-14,Male,1560
2018,10-14,Other/unknown,3
2018,15-19,Female,1163
2018,15-19,Male,1083
2018,15-19,Other/unknown,5
2018,20-24,Female,1383
2018,20-24,Male,1046
2018,20-24,Other/unknown,6
2018,25-29,Female,1717
2018,25-29,Male,1217
2018,25-29,Other/unknown,4
2018,30-34,Female,2044
2018,30-34,Male,1433
2018,30-34,Other/unknown,6
2018,35-39,Female,2222
2018,35-39,Male,1816
2018,35-39,Other/unknown,12
2018,40-44,Female,1998
2018,40-44,Male,1715
2018,40-44,Other/unknown,7
2018,45-49,Female,1899
2018,45-49,Male,1700
2018,45-49,Other/unknown,3
2018,50-54,Female,1783
2018,50-54,Male,1461
2018,50-54,Other/unknown,8
2018,55-59,Female,1963
2018,55-59,Male,1482
2018,55-59,Other/unknown,7
2018,60-64,Female,1790
2018,60-64,Male,1359
2018,60-64,Other/unknown,5
2018,65-69,Female,1440
2018,65-69,Male,1136
2018,65-69,Other/unknown,2
2018,70-74,Female,1180
2018,70-74,Male,983
2018,70-74,Other/unknown,1
2018,75-79,Female,929
2018,75-79,Male,815
2018,75-79,Other/unknown,2
2018,80-84,Female,775
2018,80-84,Male,690
2018,80-84,Other/unknown,1
2018,85+,Female,1085
2018,85+,Male,740
2018,85+,Other/unknown,2
2019,00-04,Female,17026
2019,00-04,Male,18719
2019,00-04,Other/unknown,99
2019,05-09,Female,20042
2019,05-09,Male,22820
2019,05-09,Other/unknown,93
2019,10-14,Female,11434
2019,10-14,Male,13783
2019,10-14,Other/unknown,46
2019,15-19,Female,8974
2019,15-19,Male,9228
2019,15-19,Other/unknown,33
2019,20-24,Female,10166
2019,20-24,Male,7481
2019,20-24,Other/unknown,50
2019,25-29,Female,11779
2019,25-29,Male,7927
2019,25-29,Other/unknown,60
2019,30-34,Female,12992
2019,30-34,Male,8702
2019,30-34,Other/unknown,62
2019,35-39,Female,11405
2019,35-39,Male,8265
2019,35-39,Other/unknown,44
2019,40-44,Female,7758
2019,40-44,Male,6126
2019,40-44,Other/unknown,30
2019,45-49,Female,7031
2019,45-49,Male,5558
2019,45-49,Other/unknown,17
2019,50-54,Female,6620
2019,50-54,Male,5028
2019,50-54,Other/unknown,26
2019,55-59,Female,7522
2019,55-59,Male,5301
2019,55-59,Other/unknown,16
2019,60-64,Female,7271
2019,60-64,Male,5253
2019,60-64,Other/unknown,20
2019,65-69,Female,5876
2019,65-69,Male,4418
2019,65-69,Other/unknown,17
2019,70-74,Female,5272
2019,70-74,Male,4366
2019,70-74,Other/unknown,19
2019,75-79,Female,4481
2019,75-79,Male,3831
2019,75-79,Other/unknown,6
2019,80-84,Female,4385
2019,80-84,Male,3468
2019,80-84,Other/unknown,12
2019,85+,Female,7867
2019,85+,Male,4545
2019,85+,Other/unknown,16
2019,NA,Female,11
2019,NA,Male,13
2019,NA,Other/unknown,4
2020,00-04,Female,835
2020,00-04,Male,924
2020,00-04,Other/unknown,10
2020,05-09,Female,852
2020,05-09,Male,1034
2020,05-09,Other/unknown,3
2020,10-14,Female,502
2020,10-14,Male,581
2020,10-14,Other/unknown,4
2020,15-19,Female,435
2020,15-19,Male,444
2020,15-19,Other/unknown,2
2020,20-24,Female,574
2020,20-24,Male,515
2020,20-24,Other/unknown,1
2020,25-29,Female,788
2020,25-29,Male,682
2020,25-29,Other/unknown,7
2020,30-34,Female,967
2020,30-34,Male,806
2020,30-34,Other/unknown,7
2020,35-39,Female,857
2020,35-39,Male,837
2020,35-39,Other/unknown,10
2020,40-44,Female,777
2020,40-44,Male,708
2020,40-44,Other/unknown,5
2020,45-49,Female,811
2020,45-49,Male,707
2020,45-49,Other/unknown,2
2020,50-54,Female,770
2020,50-54,Male,695
2020,50-54,Other/unknown,3
2020,55-59,Female,751
2020,55-59,Male,588
2020,55-59,Other/unknown,2
2020,60-64,Female,687
2020,60-64,Male,518
2020,60-64,Other/unknown,1
2020,65-69,Female,495
2020,65-69,Male,442
2020,65-69,Other/unknown,2
2020,70-74,Female,475
2020,70-74,Male,341
2020,70-74,Other/unknown,1
2020,75-79,Female,333
2020,75-79,Male,293
2020,80-84,Female,218
2020,80-84,Male,182
2020,85+,Female,227
2020,85+,Male,162
2020,NA,Female,3
2020,NA,Male,3
2020,NA,Other/unknown,2
2021,00-04,Female,36
2021,00-04,Male,40
2021,00-04,Other/unknown,1
2021,05-09,Female,9
2021,05-09,Male,12
2021,10-14,Female,6
2021,10-14,Male,14
2021,15-19,Female,16
2021,15-19,Male,18
2021,20-24,Female,24
2021,20-24,Male,16
2021,20-24,Other/unknown,2
2021,25-29,Female,27
2021,25-29,Male,26
2021,30-34,Female,19
2021,30-34,Male,16
2021,35-39,Female,20
2021,35-39,Male,22
2021,40-44,Female,30
2021,40-44,Male,22
2021,45-49,Female,17
2021,45-49,Male,18
2021,50-54,Female,26
2021,50-54,Male,23
2021,55-59,Female,26
2021,55-59,Male,17
2021,60-64,Female,39
2021,60-64,Male,37
2021,65-69,Female,33
2021,65-69,Male,26
2021,70-74,Female,13
2021,70-74,Male,25
2021,75-79,Female,14
2021,75-79,Male,19
2021,80-84,Female,10
2021,80-84,Male,13
2021,85+,Female,11
2021,85+,Male,17
2022,00-04,Female,13896
2022,00-04,Male,15268
2022,00-04,Other/unknown,65
2022,05-09,Female,17208
2022,05-09,Male,19195
2022,05-09,Other/unknown,62
2022,10-14,Female,10967
2022,10-14,Male,13318
2022,10-14,Other/unknown,44
2022,15-19,Female,10604
2022,15-19,Male,10834
2022,15-19,Other/unknown,36
2022,20-24,Female,8995
2022,20-24,Male,6744
2022,20-24,Other/unknown,40
2022,25-29,Female,8477
2022,25-29,Male,5574
2022,25-29,Other/unknown,30
2022,30-34,Female,9860
2022,30-34,Male,5854
2022,30-34,Other/unknown,25
